NAME;STUSAB;INTPTLAT;INTPTLON
Texas;MO;37.3142565;-91.9644783
Pulaski;AR;34.7703106;-92.312996
Choctaw;OK;34.0276453;-95.5542077
Walla Walla;WA;46.2546057;-118.4803697
Kent;TX;33.1847797;-100.7697199
Teton;MT;47.8190352;-112.2817249
Currituck;NC;36.3721739;-75.9412242
Dearborn;IN;39.14832;-84.9734976
Putnam;OH;41.0245334;-84.1298791
San Saba;TX;31.1551375;-98.8192922
Oldham;KY;38.4001274;-85.4561516
Oliver;ND;47.1180789;-101.3314198
Windsor;VT;43.5726846;-72.5988211
Hawaii;HI;19.5977643;-155.5024434
Keweenaw;MI;47.6819737;-88.1487965
McCormick;SC;33.8975992;-82.3161961
Mineral;MT;47.1519417;-115.0656272
Putnam;IN;39.6655479;-86.8533729
Wilkes;GA;33.7790312;-82.7479211
Butts;GA;33.2903551;-83.9582206
Pierce;ND;48.2388827;-99.966497
Lumpkin;GA;34.5681403;-83.9989251
York;VA;37.2190813;-76.5616481
Isabella;MI;43.6452331;-84.8394245
Dyer;TN;36.054196;-89.3983058
Norfolk;MA;42.1717393;-71.1811115
Thurston;WA;46.9358216;-122.8301524
Columbus;NC;34.2616017;-78.6393077
Taylor;TX;32.2971255;-99.8904299
Winnebago;IA;43.3781243;-93.7434883
Zapata;TX;26.9969806;-99.1826027
Boyd;KY;38.3600037;-82.6814063
Lewis;TN;35.5232441;-87.4969827
Virginia Beach;VA;36.7799845;-76.0252078
Kent;RI;41.6742448;-71.5809243
New Madrid;MO;36.5942608;-89.6559485
Skamania;WA;46.0247853;-121.9532319
Saguache;CO;38.0316514;-106.2346662
Clay;TX;33.7859042;-98.2129174
Gonzales;TX;29.4619121;-97.4919205
Wakulla;FL;30.139432;-84.3748463
Volusia;FL;29.057769;-81.161792
Polk;AR;34.4909149;-94.2308841
Huntington;IN;40.8263938;-85.4785975
Marshall;IN;41.3250032;-86.2690363
Fillmore;MN;43.6791869;-92.0939369
Androscoggin;ME;44.1676811;-70.2074347
Klamath;OR;42.6837613;-121.6461682
Oswego;NY;43.4614431;-76.2092618
Russell;VA;36.9334198;-82.0959342
Alexandria;VA;38.8192511;-77.0836695
Sacramento;CA;38.4500161;-121.3404408
Calaveras;CA;38.1838996;-120.5614415
Grafton;NH;43.9264391;-71.8424242
Hickman;TN;35.8023275;-87.4671159
Otsego;NY;42.6297762;-75.028841
Robertson;KY;38.5134727;-84.06423
Jefferson;TN;36.0483379;-83.4411426
Montrose;CO;38.4075069;-108.2662815
Richmond;VA;37.531399;-77.4760085
Lafayette;LA;30.2065065;-92.06417
Jack;TX;33.2321615;-98.1711758
Carroll;MD;39.5633308;-77.0153276
Jefferson;WA;47.8057075;-123.5270572
Traill;ND;47.4462146;-97.1647538
Ray;MO;39.3084005;-93.9957462
Sharkey;MS;32.8923946;-90.8276129
Radford;VA;37.1201194;-80.5591473
Aguadilla;PR;18.4801911;-67.1437616
Owen;IN;39.3173394;-86.8388453
Columbia;WA;46.2928505;-117.9116345
Scott;KS;38.4818768;-100.9063604
Jackson;AL;34.764114;-85.9800556
Powell;KY;37.8099073;-83.8313543
Greene;OH;39.6874785;-83.8948943
Guadalupe;TX;29.583532;-97.946771
Island;WA;48.1585538;-122.6706492
Van Buren;IA;40.7541168;-91.952943
Monroe;PA;41.0562401;-75.3290651
Newton;AR;35.9107423;-93.2158984
Bonner;ID;48.316796;-116.6123638
Catoosa;GA;34.9002176;-85.1393857
Bingham;ID;43.2163568;-112.3992058
Williams;ND;48.3557649;-103.5013332
Beadle;SD;44.4182649;-98.2794224
Billings;ND;47.007044;-103.3640163
Morgan;GA;33.5986956;-83.4994346
Broadwater;MT;46.3298486;-111.4978728
Washington;UT;37.2625308;-113.4878003
Gwinnett;GA;33.9591457;-84.023087
Pend Oreille;WA;48.5438247;-117.2321913
Bath;VA;38.0683679;-79.7312032
Lincoln;MT;48.5523847;-115.4631849
Hudspeth;TX;31.4508678;-105.3775489
Gratiot;MI;43.2923259;-84.60469
Clay;AR;36.3673021;-90.4187041
Wyoming;WV;37.6036601;-81.5490317
Hickory;MO;37.9369099;-93.3229883
Marion;OH;40.5880337;-83.1688034
Colusa;CA;39.1777385;-122.2375629
Tipton;IN;40.3102294;-86.0562066
Traverse;MN;45.7699352;-96.4748315
Perquimans;NC;36.1808969;-76.4032445
